,74040126_238
2022-01-15 19:00:04.680715+00:00,-10.3
2022-01-15 19:20:03.706591+00:00,-9.8
2022-01-15 19:40:03.538490+00:00,-9.5
2022-01-15 20:00:02.774528+00:00,-9.3
2022-01-15 20:20:02.630415+00:00,-8.8
2022-01-15 20:40:02.035987+00:00,-8.0
2022-01-15 21:00:02.883014+00:00,-6.9
2022-01-15 21:20:02.231790+00:00,-6.5
2022-01-15 21:40:03.277119+00:00,-6.8
2022-01-15 22:00:02.551891+00:00,-6.4
2022-01-15 22:20:02.928095+00:00,-5.5
2022-01-15 22:40:02.689245+00:00,-5.3
2022-01-15 23:00:05.029503+00:00,-5.5
2022-01-15 23:20:02.876431+00:00,-5.5
2022-01-15 23:40:02.766513+00:00,-5.4
2022-01-16 00:00:03.090188+00:00,-5.6
2022-01-16 00:20:05.809774+00:00,-5.9
2022-01-16 00:40:04.517223+00:00,-6.1
2022-01-16 01:00:37.725224+00:00,-6.1
2022-01-16 01:20:05.364805+00:00,-6.1
2022-01-16 01:40:03.407864+00:00,-6.5
2022-01-16 02:00:03.288958+00:00,-6.7
2022-01-16 02:20:03.451573+00:00,-6.6
2022-01-16 02:40:03.544890+00:00,-6.6
2022-01-16 03:00:03.328270+00:00,-6.4
2022-01-16 03:20:02.778053+00:00,-6.2
2022-01-16 03:40:03.942240+00:00,-6.0
2022-01-16 04:00:03.295887+00:00,-5.8
2022-01-16 04:20:02.328792+00:00,-5.6
2022-01-16 04:40:03.870136+00:00,-5.5
2022-01-16 05:00:03.110457+00:00,-5.3
2022-01-16 05:20:03.036221+00:00,-5.3
2022-01-16 05:40:02.280401+00:00,-5.2
2022-01-16 06:00:02.396567+00:00,-5.0
2022-01-16 06:20:02.983974+00:00,-4.8
2022-01-16 06:40:03.449225+00:00,-4.6
2022-01-16 07:00:03.109653+00:00,-4.5
2022-01-16 07:20:02.396733+00:00,-4.3
2022-01-16 07:40:02.164367+00:00,-4.0
2022-01-16 08:00:02.720426+00:00,-4.0
2022-01-16 08:20:02.709065+00:00,-3.8
2022-01-16 08:40:03.245787+00:00,-3.7
2022-01-16 09:00:03.552277+00:00,-3.6
2022-01-16 09:20:03.015190+00:00,-3.5
2022-01-16 09:40:02.553783+00:00,-3.7
2022-01-16 10:00:04.131238+00:00,-3.8
2022-01-16 10:20:03.200501+00:00,-3.9
2022-01-16 10:40:03.339353+00:00,-4.0
2022-01-16 11:00:03.016990+00:00,-4.1
2022-01-16 11:20:03.935401+00:00,-4.3
2022-01-16 11:40:02.978169+00:00,-4.5
2022-01-16 12:00:03.541672+00:00,-4.8
2022-01-16 12:20:02.855016+00:00,-5.8
2022-01-16 12:40:02.461609+00:00,-8.1
2022-01-16 13:00:03.537276+00:00,-8.7
2022-01-16 13:20:02.552081+00:00,-8.8
2022-01-16 13:40:02.527259+00:00,-8.9
2022-01-16 14:00:02.160716+00:00,-9.5
2022-01-16 14:20:02.993234+00:00,-10.0
2022-01-16 14:40:02.911979+00:00,-10.5
2022-01-16 15:00:01.985616+00:00,-10.8
2022-01-16 15:20:03.009691+00:00,-11.1
2022-01-16 15:40:02.792373+00:00,-11.4
2022-01-16 16:00:03.218103+00:00,-12.0
2022-01-16 16:20:02.793244+00:00,-12.4
2022-01-16 16:40:02.428135+00:00,-12.8
2022-01-16 17:00:03.652268+00:00,-12.8
2022-01-16 17:20:03.641810+00:00,-12.9
2022-01-16 17:40:03.597165+00:00,-13.1
2022-01-16 18:00:02.388264+00:00,-13.2
2022-01-16 18:20:02.682377+00:00,-13.3
2022-01-16 18:40:03.082052+00:00,-13.4
2022-01-16 19:00:03.300023+00:00,-13.6
2022-01-16 19:20:03.225353+00:00,-14.0
2022-01-16 19:40:02.309089+00:00,-14.3
2022-01-16 20:00:03.308923+00:00,-14.6
2022-01-16 20:20:02.763416+00:00,-14.7
2022-01-16 20:40:02.311055+00:00,-14.7
2022-01-16 21:00:03.104385+00:00,-14.7
2022-01-16 21:20:02.223900+00:00,-14.7
2022-01-16 21:40:03.290986+00:00,-14.6
2022-01-16 22:00:02.794615+00:00,-14.4
2022-01-16 22:20:07.152972+00:00,-14.1
2022-01-16 22:40:02.481753+00:00,-13.9
2022-01-16 23:00:03.249096+00:00,-13.7
2022-01-16 23:20:03.243584+00:00,-13.7
2022-01-16 23:40:03.110992+00:00,-13.9
2022-01-17 00:00:04.319475+00:00,-13.9
2022-01-17 00:20:03.693597+00:00,-13.8
2022-01-17 00:40:03.228175+00:00,-13.9
2022-01-17 01:00:03.211360+00:00,-13.9
2022-01-17 01:20:02.590408+00:00,-13.9
2022-01-17 01:40:02.587271+00:00,-13.8
2022-01-17 02:00:03.330585+00:00,-13.7
2022-01-17 02:20:02.926305+00:00,-13.6
2022-01-17 02:40:02.875058+00:00,-13.4
2022-01-17 03:00:02.765362+00:00,-13.2
2022-01-17 03:20:03.793755+00:00,-13.2
2022-01-17 03:40:02.944827+00:00,-13.2
2022-01-17 04:00:05.915341+00:00,-13.2
2022-01-17 04:20:03.341116+00:00,-12.9
2022-01-17 04:40:03.152832+00:00,-13.1
2022-01-17 05:00:03.866222+00:00,-13.1
2022-01-17 05:20:02.524421+00:00,-12.8
2022-01-17 05:40:02.795626+00:00,-12.6
2022-01-17 06:00:03.059003+00:00,-12.5
2022-01-17 06:20:08.205033+00:00,-12.1
2022-01-17 06:40:02.942127+00:00,-11.7
2022-01-17 07:00:04.306966+00:00,-11.3
2022-01-17 07:20:03.009139+00:00,-10.8
2022-01-17 07:40:05.579550+00:00,-10.4
2022-01-17 08:00:04.142730+00:00,-10.2
2022-01-17 08:20:02.091308+00:00,-10.0
2022-01-17 08:40:02.916757+00:00,-9.8
2022-01-17 09:00:03.048900+00:00,-9.4
2022-01-17 09:20:05.098894+00:00,-9.2
2022-01-17 09:40:03.332036+00:00,-9.2
2022-01-17 10:00:02.854270+00:00,-9.1
2022-01-17 10:20:03.601828+00:00,-9.4
2022-01-17 10:40:03.166022+00:00,-9.5
2022-01-17 11:00:02.939886+00:00,-9.6
2022-01-17 11:20:04.207389+00:00,-9.5
2022-01-17 11:40:02.348292+00:00,-9.4
2022-01-17 12:00:05.371037+00:00,-9.3
2022-01-17 12:20:02.695640+00:00,-9.2
2022-01-17 12:40:02.867899+00:00,-9.1
2022-01-17 13:00:05.191628+00:00,-9.0
2022-01-17 13:20:03.316208+00:00,-8.9
2022-01-17 13:40:04.492628+00:00,-9.0
2022-01-17 14:00:02.615953+00:00,-9.0
2022-01-17 14:20:04.131272+00:00,-9.2
2022-01-17 14:40:03.206125+00:00,-9.1
2022-01-17 15:00:04.219708+00:00,-9.3
2022-01-17 15:20:04.074848+00:00,-9.5
2022-01-17 15:40:03.032829+00:00,-9.7
2022-01-17 16:00:03.101051+00:00,-9.6
2022-01-17 16:20:03.219474+00:00,-9.4
2022-01-17 16:40:03.661967+00:00,-9.4
2022-01-17 17:00:03.495542+00:00,-9.3
2022-01-17 17:20:02.837523+00:00,-9.4
2022-01-17 17:40:02.953060+00:00,-9.7
2022-01-17 18:00:02.717551+00:00,-9.8
2022-01-17 18:20:03.102077+00:00,-9.7
2022-01-17 18:40:03.356137+00:00,-9.7
2022-01-17 19:00:02.693757+00:00,-9.6
2022-01-17 19:20:05.624113+00:00,-9.5
2022-01-17 19:40:03.578377+00:00,-9.5
2022-01-17 20:00:02.227303+00:00,-9.5
2022-01-17 20:20:03.528318+00:00,-9.5
2022-01-17 20:40:02.010298+00:00,-9.4
2022-01-17 21:00:02.600983+00:00,-9.3
2022-01-17 21:20:03.451390+00:00,-9.3
2022-01-17 21:40:03.639328+00:00,-9.3
2022-01-17 22:00:02.937537+00:00,-9.3
2022-01-17 22:20:05.471991+00:00,-9.3
2022-01-17 22:40:03.195946+00:00,-9.4
2022-01-17 23:00:03.527925+00:00,-9.5
2022-01-17 23:20:02.232875+00:00,-9.5
2022-01-17 23:40:02.903094+00:00,-9.3
2022-01-18 00:00:03.325756+00:00,-9.2
2022-01-18 00:20:02.655218+00:00,-9.2
2022-01-18 00:40:03.876216+00:00,-9.2
2022-01-18 01:00:03.866824+00:00,-9.2
2022-01-18 01:20:03.214148+00:00,-9.2
2022-01-18 01:40:03.021372+00:00,-9.2
2022-01-18 02:00:02.855190+00:00,-9.3
2022-01-18 02:20:02.931378+00:00,-9.3
2022-01-18 02:40:03.349576+00:00,-9.3
2022-01-18 03:00:02.542174+00:00,-9.5
2022-01-18 03:20:03.094513+00:00,-9.6
2022-01-18 03:40:02.690309+00:00,-9.7
2022-01-18 04:00:03.144729+00:00,-9.7
2022-01-18 04:20:03.135231+00:00,-9.7
2022-01-18 04:40:03.623353+00:00,-9.7
2022-01-18 05:00:03.848691+00:00,-9.7
2022-01-18 05:20:04.208032+00:00,-9.7
2022-01-18 05:40:02.767350+00:00,-9.6
2022-01-18 06:00:04.105515+00:00,-9.3
2022-01-18 06:20:03.972372+00:00,-9.1
2022-01-18 06:40:04.494410+00:00,-8.6
2022-01-18 07:00:03.235042+00:00,-8.0
2022-01-18 07:20:03.513879+00:00,-7.8
2022-01-18 07:40:03.217004+00:00,-7.9
2022-01-18 08:00:02.999806+00:00,-7.9
2022-01-18 08:20:03.493254+00:00,-7.9
2022-01-18 08:40:04.396095+00:00,-7.7
2022-01-18 09:00:04.694499+00:00,-7.5
2022-01-18 09:20:02.616637+00:00,-7.3
2022-01-18 09:40:03.581105+00:00,-7.2
2022-01-18 10:00:05.182936+00:00,-7.0
2022-01-18 10:20:06.423022+00:00,-7.0
2022-01-18 10:40:03.226495+00:00,-6.9
2022-01-18 11:00:02.710268+00:00,-7.1
2022-01-18 11:20:03.715861+00:00,-7.3
2022-01-18 11:40:03.381107+00:00,-7.5
2022-01-18 12:00:05.641575+00:00,-7.8
2022-01-18 12:20:03.717148+00:00,-8.0
2022-01-18 12:40:04.843995+00:00,-8.1
2022-01-18 13:00:03.139135+00:00,-8.2
2022-01-18 13:20:02.495634+00:00,-8.2
2022-01-18 13:40:03.250910+00:00,-8.4
2022-01-18 14:00:03.032017+00:00,-8.6
2022-01-18 14:20:02.780171+00:00,-8.7
2022-01-18 14:40:04.450249+00:00,-8.8
2022-01-18 15:00:03.593981+00:00,-8.8
2022-01-18 15:20:03.480908+00:00,-8.8
2022-01-18 15:40:02.885814+00:00,-8.8
2022-01-18 16:00:04.464194+00:00,-8.9
2022-01-18 16:20:03.179272+00:00,-9.0
2022-01-18 16:40:04.567724+00:00,-9.1
2022-01-18 17:00:04.076278+00:00,-9.2
2022-01-18 17:20:02.314005+00:00,-9.2
2022-01-18 17:40:03.434911+00:00,-9.3
2022-01-18 18:00:02.841541+00:00,-9.3
2022-01-18 18:20:02.658690+00:00,-9.3
2022-01-18 18:40:03.220630+00:00,-9.1
2022-01-18 19:00:02.420570+00:00,-8.8
2022-01-18 19:20:03.055773+00:00,-8.8
2022-01-18 19:40:04.399933+00:00,-8.5
2022-01-18 20:00:02.696738+00:00,-8.3
2022-01-18 20:20:01.900634+00:00,-8.3
2022-01-18 20:40:05.199012+00:00,-8.3
2022-01-18 21:00:03.311802+00:00,-8.4
2022-01-18 21:20:01.857312+00:00,-8.5
2022-01-18 21:40:02.019435+00:00,-8.7
2022-01-18 22:00:02.560670+00:00,-8.7
2022-01-18 22:20:03.416812+00:00,-8.7
2022-01-18 22:40:03.779298+00:00,-8.8
2022-01-18 23:00:04.188003+00:00,-8.7
2022-01-18 23:20:05.233879+00:00,-8.7
2022-01-18 23:40:03.474245+00:00,-8.7
2022-01-19 00:00:03.354591+00:00,-8.7
2022-01-19 00:20:02.558121+00:00,-8.8
2022-01-19 00:40:02.825706+00:00,-8.6
2022-01-19 01:00:03.829211+00:00,-8.4
2022-01-19 01:20:02.758161+00:00,-8.2
2022-01-19 01:40:03.634125+00:00,-7.9
2022-01-19 02:00:03.785690+00:00,-7.9
2022-01-19 02:20:03.904814+00:00,-7.8
2022-01-19 02:40:03.125051+00:00,-7.6
2022-01-19 03:00:02.642851+00:00,-7.3
2022-01-19 03:20:05.019094+00:00,-7.1
2022-01-19 03:40:04.292441+00:00,-6.9
2022-01-19 04:00:05.844607+00:00,-6.9
2022-01-19 04:20:03.696594+00:00,-6.9
2022-01-19 04:40:02.433458+00:00,-6.8
2022-01-19 05:00:03.463896+00:00,-6.7
2022-01-19 05:20:05.034591+00:00,-6.5
2022-01-19 05:40:03.622857+00:00,-6.3
2022-01-19 06:00:04.113927+00:00,-6.0
2022-01-19 06:20:03.383347+00:00,-5.7
2022-01-19 06:40:05.275813+00:00,-5.4
2022-01-19 07:00:03.525687+00:00,-5.3
2022-01-19 07:20:03.446452+00:00,-5.1
2022-01-19 07:40:03.442780+00:00,-4.7
2022-01-19 08:00:04.445608+00:00,-4.5
2022-01-19 08:20:04.275284+00:00,-4.3
2022-01-19 08:40:11.136685+00:00,-4.2
2022-01-19 09:00:03.099289+00:00,-4.0
2022-01-19 09:20:03.597088+00:00,-4.0
2022-01-19 09:40:03.556251+00:00,-4.1
2022-01-19 10:00:03.436094+00:00,-4.0
2022-01-19 10:20:06.326015+00:00,-4.0
2022-01-19 10:40:06.290058+00:00,-4.0
2022-01-19 11:00:03.250370+00:00,-4.1
2022-01-19 11:20:04.640747+00:00,-4.1
2022-01-19 11:40:02.465494+00:00,-4.2
2022-01-19 12:00:03.359398+00:00,-4.5
2022-01-19 12:20:03.475124+00:00,-4.7
2022-01-19 12:40:03.325579+00:00,-5.0
2022-01-19 13:00:03.369441+00:00,-5.1
2022-01-19 13:20:04.223101+00:00,-5.3
2022-01-19 13:40:04.764593+00:00,-5.4
2022-01-19 14:00:05.542207+00:00,-5.7
2022-01-19 14:20:05.631500+00:00,-5.7
2022-01-19 14:40:06.306580+00:00,-5.6
2022-01-19 15:00:04.032206+00:00,-5.7
2022-01-19 15:20:03.923617+00:00,-5.9
2022-01-19 15:40:03.318862+00:00,-6.1
2022-01-19 16:00:05.048735+00:00,-6.3
2022-01-19 16:20:05.640551+00:00,-6.4
2022-01-19 16:40:04.896624+00:00,-6.5
2022-01-19 17:00:04.391884+00:00,-6.6
2022-01-19 17:20:03.731504+00:00,-6.8
2022-01-19 17:40:03.255440+00:00,-7.1
2022-01-19 18:00:04.296296+00:00,-7.4
2022-01-19 18:20:03.500016+00:00,-7.5
2022-01-19 18:40:04.133060+00:00,-7.6
2022-01-19 19:00:04.893966+00:00,-7.6
2022-01-19 19:20:04.226953+00:00,-7.8
2022-01-19 19:40:03.063296+00:00,-7.8
2022-01-19 20:00:02.854476+00:00,-7.5
2022-01-19 20:20:03.084213+00:00,-7.6
2022-01-19 20:40:02.916188+00:00,-7.7
2022-01-19 21:00:03.291464+00:00,-7.5
2022-01-19 21:20:02.944418+00:00,-7.2
2022-01-19 21:40:03.782906+00:00,-7.1
2022-01-19 22:00:02.818558+00:00,-7.2
2022-01-19 22:20:06.988068+00:00,-7.4
2022-01-19 22:40:05.049011+00:00,-7.6
2022-01-19 23:00:07.283300+00:00,-7.9
2022-01-19 23:20:04.523779+00:00,-8.3
2022-01-19 23:40:04.138856+00:00,-8.3
2022-01-20 00:00:04.251346+00:00,-8.9
2022-01-20 00:20:04.111096+00:00,-9.3
2022-01-20 00:40:03.071528+00:00,-9.7
2022-01-20 01:00:03.301753+00:00,-9.9
2022-01-20 01:20:03.474883+00:00,-9.7
2022-01-20 01:40:03.359675+00:00,-9.5
2022-01-20 02:00:03.048250+00:00,-9.4
2022-01-20 02:20:03.542761+00:00,-9.6
2022-01-20 02:40:02.259027+00:00,-9.7
2022-01-20 03:00:04.501297+00:00,-9.6
2022-01-20 03:20:02.424586+00:00,-9.6
2022-01-20 03:40:02.835419+00:00,-9.8
2022-01-20 04:00:03.111248+00:00,-9.6
2022-01-20 04:20:03.687932+00:00,-9.6
2022-01-20 04:40:02.299360+00:00,-9.6
2022-01-20 05:00:02.843046+00:00,-9.5
2022-01-20 05:20:02.281193+00:00,-9.4
2022-01-20 05:40:05.134664+00:00,-9.2
2022-01-20 06:00:03.438031+00:00,-9.1
2022-01-20 06:20:05.358526+00:00,-9.1
2022-01-20 06:40:02.768097+00:00,-9.0
2022-01-20 07:00:03.352758+00:00,-8.9
2022-01-20 07:20:03.114105+00:00,-8.4
2022-01-20 07:40:03.295259+00:00,-7.9
2022-01-20 08:00:03.534623+00:00,-7.4
2022-01-20 08:20:03.981475+00:00,-7.1
2022-01-20 08:40:03.655718+00:00,-6.4
2022-01-20 09:00:03.934174+00:00,-6.1
2022-01-20 09:20:05.382105+00:00,-6.1
2022-01-20 09:40:02.920353+00:00,-6.5
2022-01-20 10:00:07.804017+00:00,-6.9
2022-01-20 10:20:06.510335+00:00,-7.1
2022-01-20 10:40:05.193434+00:00,-7.4
2022-01-20 11:00:03.488689+00:00,-7.7
2022-01-20 11:20:03.874424+00:00,-8.0
2022-01-20 11:40:03.972683+00:00,-8.3
2022-01-20 12:00:03.822568+00:00,-8.7
2022-01-20 12:20:03.226663+00:00,-9.1
2022-01-20 12:40:03.982040+00:00,-9.2
2022-01-20 13:00:03.329641+00:00,-9.3
2022-01-20 13:20:04.721088+00:00,-9.5
2022-01-20 13:40:04.684829+00:00,-9.5
2022-01-20 14:00:04.118989+00:00,-9.8
2022-01-20 14:20:05.161401+00:00,-10.1
2022-01-20 14:40:03.903465+00:00,-10.4
2022-01-20 15:00:04.358341+00:00,-10.7
2022-01-20 15:20:04.631310+00:00,-11.0
2022-01-20 15:40:05.227489+00:00,-11.4
2022-01-20 16:00:06.447694+00:00,-11.6
2022-01-20 16:20:04.356143+00:00,-11.7
2022-01-20 16:40:04.509330+00:00,-11.9
2022-01-20 17:00:03.897312+00:00,-11.8
2022-01-20 17:20:03.803873+00:00,-11.8
2022-01-20 17:40:05.194705+00:00,-11.8
2022-01-20 18:00:05.533468+00:00,-12.0
2022-01-20 18:20:04.282689+00:00,-12.5
2022-01-20 18:40:05.337282+00:00,-13.1
2022-01-20 19:00:10.618577+00:00,-13.8
2022-01-20 19:20:07.743304+00:00,-14.2
2022-01-20 19:40:05.500228+00:00,-14.3
2022-01-20 20:00:05.244788+00:00,-14.6
2022-01-20 20:20:04.349844+00:00,-14.9
2022-01-20 20:40:03.333670+00:00,-15.3
2022-01-20 21:00:03.499020+00:00,-15.7
