Concentration,Forecast
15.9,21.459698887445086
20.8,18.31633670936895
-3.7,0.8849646309467385
2.1,5.028487502047102
4.6,7.314569086102473
5.9,12.458252650227061
13.9,21.2453787389399
8.5,16.24457527381877
11.9,3.3139263140055712
3.3,2.385205670483076
16.9,19.24505735289145
9.3,6.743048690088631
12.7,4.528407155534988
8.3,14.530014085777243
-0.7,-4.401599032181309
-2.5,1.8851253239709642
3.7,7.171688987099013
12.1,2.7424059179917277
2.9,5.957208145569597
10.1,14.530014085777243
8.8,4.314087007029798
9.1,6.600168591085169
2.1,2.7424059179917277
5.4,2.170885521977885
3.7,3.4568064130090326
17.2,17.45905611534819
0.7,1.242164878455391
8.6,13.672733491756478
23.6,12.601132749230523
10.1,1.8136852744692344
9.1,8.386169828628429
6.3,2.3137656209813464
13.0,6.100088244573057
6.5,5.314247700054023
7.9,8.100409630621508
25.9,18.387776758870682
8.0,4.671287254538449
11.5,8.671930026635351
3.7,5.171367601050561
-6.2,1.456485026960582
14.6,11.529532006704565
13.2,19.102177253887987
5.3,5.385687749555753
-3.4,-5.473199774707265
16.4,17.74481631335511
19.8,19.102177253887987
-1.7,4.456967106033258
14.0,12.24393250172187
6.7,13.101213095742633
-6.6,-2.544157745136319
20.2,14.601454135278974
-3.1,-5.758959972714187
-2.5,2.0280054229744238
28.0,15.88737502631012
16.4,3.4568064130090326
6.3,15.315854630296275
16.6,14.029933739265129
-1.6,0.3848842844346265
5.5,7.386009135604205
-7.4,-2.9013579926449697
19.4,13.029773046240905
9.1,10.52937131368034
15.0,21.2453787389399
1.4,3.6711265615142237
0.7,0.027684036925975875
13.6,16.530335471825694
9.6,7.9575295316180465
-1.0,-2.6155977946380506
19.4,12.38681260072533
6.4,7.528889234607664
4.0,15.601614828303198
17.1,6.957368838593821
-14.6,-1.401116953108632
16.1,12.601132749230523
12.0,14.530014085777243
12.2,13.744173541258208
8.1,10.45793126417861
4.7,3.4568064130090326
-6.0,-4.473039081683041
23.0,13.029773046240905
4.0,15.67305487780493
21.5,21.38825883794336
8.9,16.744655620330885
16.7,13.172653145244364
20.7,12.458252650227061
-6.1,3.09960616550038
15.2,17.9591364618603
10.3,15.81593497680839
-2.0,-1.5439970521120951
15.3,17.316176016344727
21.6,21.2453787389399
25.9,20.10233794691221
0.4,3.2424862645038415
10.6,12.529692699728791
7.3,5.171367601050561
16.2,21.67401903595028
9.5,11.958172303714948
-3.0,-0.4009562600844063
-6.3,-5.830400022215915
9.3,7.386009135604205
11.7,3.6711265615142237
-0.7,1.5993651259640416
6.4,13.386973293749556
12.1,14.958654382787625
18.1,16.958975768836076
21.9,10.029290967168228
11.5,12.3153725512236
3.0,4.59984720503672
23.2,10.243611115673419
14.2,18.602096907375874
11.2,12.67257279873225
