,74040126_240
2022-01-14 06:40:03.840921+00:00,733.0
2022-01-14 07:00:03.311093+00:00,733.0
2022-01-14 07:20:02.421627+00:00,732.0
2022-01-14 07:40:03.311943+00:00,732.0
2022-01-14 08:00:02.934491+00:00,732.0
2022-01-14 08:20:02.825988+00:00,731.0
2022-01-14 08:40:02.618627+00:00,731.0
2022-01-14 09:00:04.295937+00:00,731.0
2022-01-14 09:20:02.902186+00:00,730.0
2022-01-14 09:40:02.483016+00:00,730.0
2022-01-14 10:00:02.817686+00:00,729.0
2022-01-14 10:20:03.632489+00:00,729.0
2022-01-14 10:40:03.844041+00:00,729.0
2022-01-14 11:00:02.594845+00:00,728.0
2022-01-14 11:20:03.125664+00:00,728.0
2022-01-14 11:40:03.030428+00:00,728.0
2022-01-14 12:00:02.689808+00:00,728.0
2022-01-14 12:20:03.441598+00:00,727.0
2022-01-14 12:40:02.781385+00:00,727.0
2022-01-14 13:00:04.856696+00:00,727.0
2022-01-14 13:20:03.351581+00:00,726.0
2022-01-14 13:40:02.493933+00:00,726.0
2022-01-14 13:54:03.553083+00:00,726.0
2022-01-14 13:56:02.492791+00:00,726.0
2022-01-14 13:58:02.197635+00:00,726.0
2022-01-14 14:20:02.053493+00:00,726.0
2022-01-14 14:40:03.607595+00:00,726.0
2022-01-14 15:00:02.894106+00:00,725.0
2022-01-14 15:20:02.013798+00:00,725.0
2022-01-14 15:40:02.079751+00:00,725.0
2022-01-14 16:00:06.445893+00:00,724.0
2022-01-14 16:20:02.349011+00:00,724.0
2022-01-14 16:40:02.510151+00:00,724.0
2022-01-14 17:00:03.526380+00:00,723.0
2022-01-14 17:20:02.940739+00:00,723.0
2022-01-14 17:40:02.729440+00:00,723.0
2022-01-14 18:00:02.672217+00:00,723.0
2022-01-14 18:20:01.972068+00:00,723.0
2022-01-14 18:40:02.236929+00:00,723.0
2022-01-14 19:00:01.905519+00:00,723.0
2022-01-14 19:20:02.776321+00:00,722.0
2022-01-14 19:40:02.314770+00:00,722.0
2022-01-14 20:00:03.956534+00:00,722.0
2022-01-14 20:20:02.189036+00:00,721.0
2022-01-14 20:40:03.403473+00:00,721.0
2022-01-14 21:00:03.769688+00:00,721.0
2022-01-14 21:20:01.978122+00:00,721.0
2022-01-14 21:40:03.097111+00:00,721.0
2022-01-14 22:00:02.479658+00:00,720.0
2022-01-14 22:20:04.783787+00:00,720.0
2022-01-14 22:40:03.198545+00:00,720.0
2022-01-14 23:00:04.208442+00:00,720.0
2022-01-14 23:20:02.553511+00:00,720.0
2022-01-14 23:40:02.486158+00:00,720.0
2022-01-15 00:00:04.142837+00:00,720.0
2022-01-15 00:20:02.923014+00:00,719.0
2022-01-15 00:40:02.536072+00:00,719.0
2022-01-15 01:00:03.329869+00:00,719.0
2022-01-15 01:20:02.118648+00:00,719.0
2022-01-15 01:40:02.804595+00:00,719.0
2022-01-15 02:00:02.938245+00:00,719.0
2022-01-15 02:20:04.258604+00:00,719.0
2022-01-15 02:40:02.991727+00:00,719.0
2022-01-15 03:00:03.306265+00:00,719.0
2022-01-15 03:20:03.006776+00:00,719.0
2022-01-15 03:40:02.486032+00:00,719.0
2022-01-15 04:00:02.216575+00:00,719.0
2022-01-15 04:20:03.641672+00:00,719.0
2022-01-15 04:40:02.470375+00:00,719.0
2022-01-15 05:00:03.314282+00:00,719.0
2022-01-15 05:20:03.799787+00:00,719.0
2022-01-15 05:40:02.053914+00:00,719.0
2022-01-15 06:00:02.835536+00:00,719.0
2022-01-15 06:20:03.599011+00:00,719.0
2022-01-15 06:40:02.777501+00:00,719.0
2022-01-15 07:00:02.924758+00:00,719.0
2022-01-15 07:20:02.520021+00:00,719.0
2022-01-15 07:40:03.565450+00:00,719.0
2022-01-15 08:00:02.659263+00:00,719.0
2022-01-15 08:20:02.654724+00:00,719.0
2022-01-15 08:40:03.485964+00:00,719.0
2022-01-15 09:00:02.585904+00:00,719.0
2022-01-15 09:20:02.864255+00:00,719.0
2022-01-15 09:40:03.349895+00:00,719.0
2022-01-15 10:00:02.395445+00:00,719.0
2022-01-15 10:20:03.177765+00:00,719.0
2022-01-15 10:40:03.130107+00:00,719.0
2022-01-15 11:00:03.062160+00:00,719.0
